start_id,end_id,relation,:TYPE
100469,300001,has,has
100321,300002,has,has
100416,300003,has,has
100142,300004,has,has
100213,300005,has,has
100210,300006,has,has
100402,300007,has,has
100782,300008,has,has
100186,300009,has,has
100215,300010,has,has
100416,300011,has,has
100391,300012,has,has
100391,300013,has,has
100391,300014,has,has
100435,300015,has,has
100206,300016,has,has
100215,300017,has,has
100196,300018,has,has
100215,300019,has,has
100215,300020,has,has
100215,300021,has,has
100089,300022,has,has
100190,300023,has,has
100210,300024,has,has
100089,300025,has,has
100115,300026,has,has
100584,300027,has,has
100203,300028,has,has
100589,300029,has,has
100186,300030,has,has
100179,300031,has,has
100179,300032,has,has
100379,300033,has,has
100190,300034,has,has
100180,300035,has,has
100180,300036,has,has
100455,300037,has,has
100190,300038,has,has
100200,300039,has,has
100196,300040,has,has
100409,300041,has,has
100400,300042,has,has
100190,300043,has,has
100180,300044,has,has
100438,300045,has,has
100215,300046,has,has
100215,300047,has,has
100478,300048,has,has
100455,300049,has,has
100779,300050,has,has
100180,300051,has,has
100391,300052,has,has
100391,300053,has,has
100170,300054,has,has
100133,300055,has,has
100402,300056,has,has
100179,300057,has,has
100452,300058,has,has
100190,300059,has,has
100180,300060,has,has
100180,300061,has,has
100162,300062,has,has
100089,300063,has,has
100402,300064,has,has
100455,300065,has,has
100210,300066,has,has
100181,300067,has,has
100408,300068,has,has
100213,300069,has,has
100190,300070,has,has
100445,300071,has,has
100188,300072,has,has
100210,300073,has,has
100452,300074,has,has
100099,300075,has,has
100402,300076,has,has
100417,300077,has,has
100416,300078,has,has
100393,300079,has,has
100180,300080,has,has
100203,300081,has,has
100408,300082,has,has
100417,300083,has,has
100389,300084,has,has
100179,300085,has,has
100452,300086,has,has
100664,300087,has,has
100215,300088,has,has
100186,300089,has,has
100454,300090,has,has
100179,300091,has,has
100179,300092,has,has
100784,300093,has,has
100193,300094,has,has
100425,300095,has,has
100317,300096,has,has
100391,300097,has,has
100391,300098,has,has
100391,300099,has,has
100204,300100,has,has
100194,300101,has,has
100867,300102,has,has
100469,300103,has,has
100400,300104,has,has
100455,300105,has,has
100409,300106,has,has
100708,300107,has,has
100438,300108,has,has
100209,300109,has,has
100425,300110,has,has
100433,300111,has,has
100179,300112,has,has
100408,300113,has,has
100806,300114,has,has
100451,300115,has,has
100391,300116,has,has
100424,300117,has,has
100424,300118,has,has
100179,300119,has,has
100813,300120,has,has
100445,300121,has,has
100194,300122,has,has
100421,300123,has,has
100408,300124,has,has
100417,300125,has,has
100402,300126,has,has
100188,300127,has,has
100180,300128,has,has
100433,300129,has,has
100191,300130,has,has
100438,300131,has,has
100176,300132,has,has
100179,300133,has,has
100446,300134,has,has
100192,300135,has,has
100215,300136,has,has
100391,300137,has,has
100411,300138,has,has
100411,300139,has,has
100399,300140,has,has
100202,300141,has,has
100469,300142,has,has
100416,300143,has,has
100401,300144,has,has
100194,300145,has,has
100180,300146,has,has
100400,300147,has,has
100215,300148,has,has
100424,300149,has,has
100424,300150,has,has
100159,300151,has,has
100598,300152,has,has
100093,300153,has,has
100085,300154,has,has
100452,300155,has,has
100452,300156,has,has
100452,300157,has,has
100379,300158,has,has
100379,300159,has,has
100782,300160,has,has
100096,300161,has,has
100176,300162,has,has
100100,300163,has,has
100209,300164,has,has
100940,300165,has,has
100192,300166,has,has
100321,300167,has,has
100321,300168,has,has
100321,300169,has,has
100215,300170,has,has
100807,300171,has,has
100391,300172,has,has
100427,300173,has,has
100530,300174,has,has
100328,300175,has,has
100180,300176,has,has
100180,300177,has,has
100180,300178,has,has
100452,300179,has,has
100779,300180,has,has
100452,300181,has,has
100215,300182,has,has
100417,300183,has,has
100099,300184,has,has
100415,300185,has,has
100409,300186,has,has
100400,300187,has,has
100186,300188,has,has
100181,300189,has,has
100474,300190,has,has
100453,300191,has,has
100391,300192,has,has
100213,300193,has,has
100482,300194,has,has
100133,300195,has,has
100445,300196,has,has
100089,300197,has,has
100434,300198,has,has
100210,300199,has,has
100213,300200,has,has
100705,300201,has,has
100425,300202,has,has
100215,300203,has,has
100324,300204,has,has
100208,300205,has,has
100325,300206,has,has
100116,300207,has,has
100210,300208,has,has
100416,300209,has,has
100416,300210,has,has
100416,300211,has,has
100431,300212,has,has
100786,300213,has,has
100213,300214,has,has
100608,300215,has,has
100213,300216,has,has
100617,300217,has,has
100598,300218,has,has
100209,300219,has,has
100089,300220,has,has
100391,300221,has,has
100325,300222,has,has
100410,300223,has,has
100659,300224,has,has
100115,300225,has,has
100292,300226,has,has
100190,300227,has,has
100456,300228,has,has
100449,300229,has,has
100406,300230,has,has
100774,300231,has,has
100445,300232,has,has
100101,300233,has,has
100746,300234,has,has
100089,300235,has,has
100951,300236,has,has
100209,300237,has,has
100209,300238,has,has
100115,300239,has,has
100585,300240,has,has
100191,300241,has,has
100188,300242,has,has
100746,300243,has,has
100065,300244,has,has
100209,300245,has,has
100453,300246,has,has
100402,300247,has,has
100685,300248,has,has
100444,300249,has,has
100189,300250,has,has
100186,300251,has,has
100204,300252,has,has
100410,300253,has,has
100723,300254,has,has
100951,300255,has,has
100951,300256,has,has
100064,300257,has,has
100452,300258,has,has
100203,300259,has,has
100929,300260,has,has
100189,300261,has,has
100445,300262,has,has
100769,300263,has,has